3433	internal_bridge_fan_speed	coInts
3444	ironing_fan_speed	coInts
3456	filament_ironing_flow	coPercents
3468	filament_ironing_spacing	coFloats
3480	filament_ironing_inset	coFloats
3492	filament_ironing_speed	coFloats
3503	fuzzy_skin	coEnum
3523	fuzzy_skin_thickness	coFloat
3533	fuzzy_skin_point_distance	coFloat
3543	fuzzy_skin_first_layer	coBool
3550	fuzzy_skin_mode	coEnum
3573	fuzzy_skin_noise_type	coEnum
3599	fuzzy_skin_scale	coFloat
3609	fuzzy_skin_octaves	coInt
3618	fuzzy_skin_persistence	coFloat
3627	fuzzy_skin_ripples_per_layer	coInt
3635	fuzzy_skin_ripple_offset	coPercent
3649	fuzzy_skin_layers_between_ripple_offset	coInt
3660	filter_out_gap_fill	coFloat
3669	gap_infill_speed	coFloat
3679	precise_z_height	coBool
3689	enable_arc_fitting	coBool
3700	gcode_add_line_number	coBool
3707	scan_first_layer	coBool
3714	enable_power_loss_recovery	coEnum
3728	spaghetti_detector	coBool
3734	nozzle_type	coEnums
3753	nozzle_hrc	coInt
3762	printer_structure	coEnum
3779	best_object_pos	coPoint
3785	auxiliary_fan	coBool
3791	fan_speedup_time	coFloat
3804	fan_speedup_overhangs	coBool
3810	fan_kickstart	coFloat
3822	part_cooling_fan_min_pwm	coInt
3844	time_cost	coFloat
3853	support_chamber_temp_control	coBool
3860	support_air_filtration	coBool
3866	gcode_flavor	coEnum
3900	pellet_modded_printer	coBool
3906	support_multi_bed_types	coBool
3912	gcode_label_objects	coBool
3920	exclude_object	coBool
3926	gcode_comments	coBool
3935	infill_combination	coBool
3942	infill_shift_step	coFloat
3953	sparse_infill_rotate_template	coString
3967	solid_infill_rotate_template	coString
3978	skeleton_infill_density	coPercent
3991	skin_infill_density	coPercent
4004	skin_infill_depth	coFloat
4014	infill_lock_depth	coFloat
4024	skin_infill_line_width	coFloatOrPercent
4034	skeleton_infill_line_width	coFloatOrPercent
4044	symmetric_infill_y_axis	coBool
4053	infill_combination_max_layer_height	coFloatOrPercent
4067	enable_wrapping_detection	coBool
4073	wrapping_detection_layers	coInt
4080	wrapping_exclude_area	coPoints
4087	sparse_infill_filament_id	coInt
4096	sparse_infill_line_width	coFloatOrPercent
4108	infill_wall_overlap	coPercent
4118	top_bottom_infill_wall_overlap	coPercent
4131	sparse_infill_speed	coFloat
4140	inherits	coString
4150	inherits_group	coStrings
4154	interface_shells	coBool
